round,max_value,better_idx,last_values
0,836,98,836
0,795,97,795
0,748,88,748
0,859,72,846
0,865,77,795
0,791,93,774
0,784,83,745
0,861,93,861
0,807,98,807
0,855,69,824
0,864,67,801
0,789,90,789
0,767,93,765
0,793,96,793
0,832,81,832
0,870,67,794
0,795,85,769
0,810,39,774
0,802,69,760
0,805,43,785
0,772,72,727
0,838,44,785
0,890,93,890
0,817,80,786
0,802,53,765
0,793,92,793
0,820,98,820
0,728,57,677
0,873,93,873
0,787,85,781
0,752,93,752
0,766,82,755
0,839,93,839
0,831,79,831
0,841,63,828
0,884,99,884
0,789,71,777
0,800,67,798
0,822,96,822
0,851,79,851
0,802,47,769
0,780,77,780
0,805,98,805
0,796,83,796
0,820,83,820
0,857,85,857
0,777,62,700
0,848,76,837
0,768,25,684
0,798,97,798
0,780,95,727
0,819,37,715
0,730,61,726
0,773,95,773
0,787,93,787
0,815,99,815
0,867,98,867
0,821,88,821
0,848,84,848
0,783,84,783
0,833,86,808
0,837,93,837
0,789,42,777
0,855,80,855
0,781,64,685
0,751,73,701
0,771,99,771
0,862,94,862
0,826,92,826
0,843,73,745
0,774,34,635
0,725,97,725
0,770,97,770
0,838,88,815
0,781,68,743
0,828,92,828
0,785,96,785
0,812,99,812
0,841,98,841
0,781,92,781
0,841,86,821
0,792,97,792
0,774,75,771
0,859,99,859
0,847,94,847
0,802,99,802
0,827,75,748
0,778,98,778
0,774,79,729
0,811,76,789
0,788,93,721
0,858,95,858
0,842,94,842
0,800,63,792
0,852,95,798
0,794,75,699
0,871,76,801
0,818,92,818
0,801,76,793
0,783,93,783
1,1051,82,1051
1,1049,0,1002
1,1049,0,1090
1,1049,0,970
1,1049,0,1044
1,1049,0,916
1,1049,0,1066
1,1049,0,963
1,1049,0,1017
1,1049,0,863
1,1049,0,996
1,1049,0,1002
1,1049,0,1006
1,1049,0,978
1,1049,0,993
1,1049,0,1002
1,1049,0,954
1,1049,0,1009
1,1079,86,1079
1,1049,0,934
1,1049,0,932
1,1049,0,1007
1,1049,0,1016
1,1080,90,1080
1,1049,0,1018
1,1049,0,1022
1,1050,90,1050
1,1049,0,939
1,1052,81,1052
1,1049,0,941
1,1069,82,952
1,1049,0,925
1,1049,0,918
1,1061,82,1061
1,1049,0,959
1,1049,0,876
1,1054,95,1054
1,1049,0,1033
1,1054,84,1054
1,1049,0,1040
1,1049,0,1028
1,1049,0,1028
1,1049,0,929
1,1077,94,1077
1,1049,0,925
1,1049,0,1002
1,1049,0,915
1,1049,0,964
1,1049,0,1025
1,1049,0,977
1,1067,91,1067
1,1049,0,877
1,1057,91,1057
1,1049,0,1011
1,1049,0,1049
1,1049,0,953
1,1049,0,978
1,1049,0,1022
1,1053,92,1053
1,1072,74,1039
1,1049,0,976
1,1077,38,948
1,1058,90,1058
1,1049,0,999
1,1049,0,921
1,1049,0,1032
1,1049,0,1003
1,1049,0,1026
1,1049,0,1034
1,1049,0,1022
1,1074,97,1074
1,1049,0,844
1,1049,0,970
1,1049,0,939
1,1049,0,947
1,1049,0,923
1,1059,82,916
1,1049,0,876
1,1049,0,1022
1,1049,0,1029
1,1050,33,997
1,1049,0,1022
1,1049,0,891
1,1049,0,877
1,1049,0,967
1,1049,0,980
1,1049,0,866
1,1049,0,963
1,1049,0,864
1,1049,0,884
